id,title,cate,location,introduce,video
1733,무주 데프콘,로케이션 DB  > 산업시설  > 공장관련시설  > 폐공장,지역정보  > 무주군,무주군 무주읍 오산리에 위치한 폐공장을 서바이벌 게임장으로 활용한 곳,
1732,완주군_구이면 전원주택(이층집)[6],로케이션 DB  > 주거/업무시설,지역정보  > 완주군,완주군 구이면에 있는 별장 형태의 주택이다. 2층 형태로 앞 마당은 정원과 넓은 잔디밭으로 구성되어있다.,
1731,국립청소년농생명센터,로케이션 DB  > 교육/의료/복지시설,지역정보  > 김제시,대학 수준의 전문 과학 실험장비 및 실험실과 체험관을 비롯해 벽골제와 김제평야를 한눈에 볼 수 있는 42m 높이의 전망대를 보유한 농생명과학 특화 청소년 체험시설입니다.,
1730,부안 새만금 간척지,로케이션 DB  > 자연/도시  > 자연,지역정보  > 부안군,"부안에 위치한 간척지
광활한 공간에 시설물이 없고, 낮은 초지로 다양한 상황연출 가능",
1729,전주시_양묘장(영상),로케이션 DB  > 자연/도시  > 농/축산/수산/원예시설,지역정보  > 전주시,전주시 우아동에 위치해있는 양묘장. 과거 쓰레기 매립지 상단부에 조성돼 청소년과 시민들의 산 교육장으로 활용되고 있다. 매년 가을이면 코스모스와 국화 꽃이 만개한다.,//www.youtube.com/embed/JntSXaW0ZNE
1728,완주군_공기마을 편백나무 숲(영상),로케이션 DB  > 자연/도시,지역정보  > 전주시,완주군 상관면 공기마을에 있는 편백나무 숲. 지난 1976년 조성된 공기마을 편백나무 숲은 10만그루 편백나무가 군락을 이뤄 많은 여행객들이 찾는 힐링 장소이다.,//www.youtube.com/embed/0dRVVxuz7jw
1727,완주군_아원고택(영상),로케이션 DB  > 생활/영업시설,지역정보  > 전주시,"완주군 소양면에 위치하고 있다. 전통학옥과 누드 콘크리트 건물을 아우르는 문화공간으로 한옥체험,숙박과 다도 등 예절 교육이 가능하다.",//www.youtube.com/embed/Npi69gFql0E
1726,전주시_완산동 골목(영상),로케이션 DB  > 주거/업무시설,지역정보  > 전주시,전주시 완산동 용머리고개 근처에 형성되어 있는 주택과 골목길.,//www.youtube.com/embed/IWHkuumNY4o
1725,전주_오송제(영상),로케이션 DB  > 문화/관광/종교시설,지역정보  > 전주시,전주시 송천동에 위치한 곳. 건지산 자락에 위치한 생태호수공원.,//www.youtube.com/embed/Yc5CiX6eQZg
1724,전주_동물원(영상),로케이션 DB  > 문화/관광/종교시설,지역정보  > 전주시,"1978년 6월 10일 개원한 전주동물원은 지방동물원으로는 유일하게 호랑이, 사자, 기린, 하마, 들소, 큰뿔소, 낙타, 침팬지, 캥거루 등 동물을 다수 보유하고 있으며, 현재 희귀동물인 반달가슴곰, 얼룩말, 재규어 등 총 106종에 670여 마리의 동물을 전시하고 있다.",//www.youtube.com/embed/1v9edpS9MrA
1723,전주시_덕진공원(영상),로케이션 DB  > 문화/관광/종교시설,지역정보  > 전주시,"전주역 북쪽 3 km 지점에 있는 덕진호(德津湖) 일대의 유원지로, 시민공원이라고도 한다. 5월의 연꽃과 호수를 가로지르는 현수교가 명물이다.",//www.youtube.com/embed/u4tpMpInS7k
1722,전주시_남부시장 청년몰(영상),로케이션 DB  > 생활/영업시설,지역정보  > 전주시,"전통시장 활성화와 청년들의 창업 기회를 주기위해 만들어진 전주만의 특별한 장소. 

청년몰에서는 세계 각국의 음식, 수제 디저트, 디자인 상품, 패션 상품, 보드게임 등을  즐길 수 있는 장소이다",//www.youtube.com/embed/u8xStfmdEb0
1721,전주_경기전(영상),로케이션 DB  > 전통문화시설,지역정보  > 전주시,"조선을 건국한 태조 이성계의 대표적인 유적이다. 
전주시 풍남동 전주한옥마을의 중심이며 관광객이 많이 찾는 곳이다. 조선시대의 묘사로 태조의 어진을 모셨다. 사적 제339호.",//www.youtube.com/embed/qftKtjtOdis
1719,전주시_자연생태학습원[20],로케이션 DB  > 자연/도시  > 농/축산/수산/원예시설  > 화훼단지,지역정보  > 전주시,"전주시 양묘장에 위치한 자연생태학습원은 과거 쓰레기 매립지 상단부에 조성돼 청소년과 시민들의 산 교육장으로 활용되고 있다.
매년 가을이면 코스모스와 국화 꽃이 만개한다.",
1718,전주시 자연생태박물관 인도교[5],로케이션 DB  > 도로/교통시설  > 차량도로  > 다리/교각,지역정보  > 전주시,"전주시 자연생태박물관 앛 전주천에 있는 인도교.
사람의 통행만 가능하며 세월의 느낌이 있다.",
1717,전주시_자연생태박물관 갈대[4],로케이션 DB  > 자연/도시  > 자연  > 강/하천,지역정보  > 전주시,"전주의 하천은 주변에서 흔히 볼 수 있는 갈대.
가을이면 갈대꽃이 피어 바람에 흔들리며 발길을 잡는다.",
1716,전주시_어두제[12],로케이션 DB  > 자연/도시  > 자연  > 호수/저수지,지역정보  > 전주시,"전주 완산체련공원 내 위치한 생태공원으로 규모는 크지 않지만 어두제 주변으로 도보 트랙 및 각국의 연꽃들이 식생되어있다.
특히 일몰시 모악산 사이의 태양은 색다른 느낌을 준다.",
